job title,company,experience,salary,location,education,python,r,sql,excel,vba,powerbi,tableau,nosql,sas,git,matlab
Senior Data Scientist,Savantys Solutions,5 - 10 years,Not Disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/BengaluruView More",bachelor  master ,python,r,,,,,,,,,
Data Scientist/ML Engineer - Data Pipeline/Python,More Ventures,3 - 8 years,Not Disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/BengaluruView More",bachelor  master  phd ,python,,sql,,,,,,,,
Data Scientist,Sagality India,6 - 9 years,Not Disclosed,"Chennai, Bangalore/Bengaluru, Mumbai (All Areas)View More",bachelor ,python,r,sql,excel,,powerbi,tableau,,,,
Lead Data Scientist - Life Insurance,Serving Skill,8 - 12 years,Not Disclosed,MumbaiView More,bachelor  master  phd ,python,,sql,,,,,,,,
Manager/Senior Manager - Data Science - BPO,Phenom Placement,8 - 13 years,Not Disclosed,MumbaiView More,bachelor  master  phd ,python,r,sql,,,,,,sas,,
Data Scientist - Power BI/Tableau,Huquo Consulting,2 - 7 years,Not Disclosed,MumbaiView More,bachelor  master  phd ,python,r,sql,excel,,powerbi,tableau,,sas,,
Data Scientist - Python/Spark,Huquo Consulting,1 - 6 years,Not Disclosed,MumbaiView More,bachelor  master  phd ,python,,,excel,,,,,,,
Senior Data Scientist,Fundnel,3 - 8 years,Not Disclosed,MumbaiView More,bachelor  master ,python,,sql,,,,tableau,,,,
Assistant Professor,Dtss College Of Commerce,1 - 2 years,Not Disclosed,"Vasai, Thane, Mumbai (All Areas)View More", master ,python,r,sql,,,,,,,,
Data Scientist / Sr. Data Scientist 1,Colgate-Palmolive (India),3 - 8 years,Not Disclosed,MumbaiView More,bachelor  master ,python,r,sql,,,powerbi,tableau,,,,
Data Scientist (BFSI) || Onsite,Virtue Sources,4 - 8 years,Not Disclosed,"Kolkata, Mumbai, Gurgaon/Gurugram, Bangalore/BengaluruView More",bachelor  master ,python,,sql,excel,,powerbi,tableau,,sas,,
Principal Data Scientist,Lighthouse Search Opc,5 - 10 years,Not Disclosed,"Bangalore/Bengaluru, Mumbai (All Areas)View More",bachelor ,python,r,,,,,,,,,
Data Scientist,NSEIT,5 - 10 years,Not Disclosed,MumbaiView More,bachelor  master ,python,,,excel,,,,,,,
Data Scientist,Niche Search Services,5 - 10 years,Not Disclosed,Bangalore/BengaluruView More,bachelor ,python,,sql,,,,,,,,
Research Scientist Engineer  Machine Learning / NLP,Career Maker,4 - 8 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master  phd ,python,,,,,,,,,,
